meeting,date,duration,agenda,video,duration_minutes
Board of Adjustment,"August 14, 2018
                                                                                                                                      -
                                                                                               1:00 PM",00h 51m,,,51
Board of Adjustment,"July 24, 2018
                                                                                                                                      -
                                                                                               1:00 PM",02h 46m,,,166
Board of Adjustment,"July 10, 2018
                                                                                                                                      -
                                                                                               1:00 PM",03h 24m,,,204
Board of Adjustment,"June 26, 2018
                                                                                                                                      -
                                                                                               1:00 PM",01h 34m,,,94
Board of Adjustment,"June 12, 2018
                                                                                                                                      -
                                                                                               1:00 PM",01h 27m,,,87
Board of Adjustment,"May 22, 2018
                                                                                                                                      -
                                                                                               1:00 PM",00h 50m,,,50
Board of Adjustment,"May  8, 2018
                                                                                                                                      -
                                                                                               1:00 PM",02h 06m,,,126
Board of Adjustment,"April 24, 2018
                                                                                                                                      -
                                                                                               1:00 PM",01h 33m,,,93
Board of Adjustment,"April 10, 2018
                                                                                                                                      -
                                                                                               1:00 PM",03h 46m,,,226
Board of Adjustment,"March 27, 2018
                                                                                                                                      -
                                                                                               1:00 PM",01h 14m,,,74
Board of Adjustment,"February 13, 2018
                                                                                                                                      -
                                                                                               1:00 PM",02h 03m,,,123
Board of Adjustment,"January 23, 2018
                                                                                                                                      -
                                                                                               1:00 PM",02h 37m,,,157
Board of Adjustment,"January  9, 2018
                                                                                                                                      -
                                                                                               1:00 PM",01h 08m,,,68
Hispanic/Latinx Affairs Commission,"November  8, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 09m,,,69
Hispanic/Latinx Affairs Commission,"October 11, 2018
                                                                                                                                      -
                                                                                               6:00 PM",00h 53m,,,53
Hispanic/Latinx Affairs Commission,"September 13, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 12m,,,72
Hispanic/Latinx Affairs Commission,"August  9, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 20m,,,80
Hispanic/Latinx Affairs Commission,"June 14, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 06m,,,66
Hispanic/Latinx Affairs Commission,"March  8, 2018
                                                                                                                                      -
                                                                                               6:00 PM",00h 48m,,,48
Hispanic/Latinx Affairs Commission,"February  8, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 10m,,,70
Hispanic/Latinx Affairs Commission,"January 11, 2018
                                                                                                                                      -
                                                                                               6:00 PM",05h 01m,,,301
Housing & Urban Development Community Development Committee,"September 13, 2018
                                                                                                                                      -
                                                                                               5:00 PM",01h 31m,,,91
Housing & Urban Development Community Development Committee,"June  4, 2018
                                                                                                                                      -
                                                                                               5:00 PM",00h 21m,,,21
Housing & Urban Development Community Development Committee,"April  5, 2018
                                                                                                                                      -
                                                                                               5:00 PM",05h 00m,,,300
Housing & Urban Development Community Development Committee,"February  6, 2018
                                                                                                                                      -
                                                                                               5:00 PM",02h 04m,,,124
Housing & Urban Development Community Development Committee,"February  1, 2018
                                                                                                                                      -
                                                                                               5:00 PM",00h 59m,,,59
Housing & Urban Development Community Development Committee,"January 11, 2018
                                                                                                                                      -
                                                                                               5:00 PM",00h 35m,,,35
Human Rights Commission,"November 26, 2018
                                                                                                                                      -
                                                                                               3:30 PM",02h 12m,,,132
Human Rights Commission,"October 15, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 16m,,,76
Human Rights Commission,"September 17, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 11m,,,71
Human Rights Commission,"August 20, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 22m,,,82
Human Rights Commission,"June 18, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 12m,,,72
Human Rights Commission,"May 21, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 33m,,,93
Human Rights Commission,"April 16, 2018
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"March 19, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 58m,,,118
Human Rights Commission,"February 20, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 56m,,,116
Human Rights Commission,"January 16, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 06m,,,66
Indian Affairs Commission,"November 20, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 32m,,,92
Indian Affairs Commission,"October 16, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 10m,,,70
Indian Affairs Commission,"September 18, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 09m,,,69
Indian Affairs Commission,"August 21, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 38m,,,98
Indian Affairs Commission,"June 19, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 15m,,,75
Indian Affairs Commission,"May 19, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 15m,,,75
Indian Affairs Commission,"April 17, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 10m,,,70
Indian Affairs Commission,"March 20, 2018
                                                                                                                                      -
                                                                                               6:00 PM",01h 26m,,,86
Tulsa Metropolitan Area Planning Commission,"December 19, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 51m,,,51
Tulsa Metropolitan Area Planning Commission,"December  5, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 48m,,,48
Tulsa Metropolitan Area Planning Commission,"November 19, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 13m,,,73
Tulsa Metropolitan Area Planning Commission,"November  7, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 26m,,,146
Tulsa Metropolitan Area Planning Commission,"October 17, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 20m,,,80
Tulsa Metropolitan Area Planning Commission,"October  3, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 51m,,,171
Tulsa Metropolitan Area Planning Commission,"September 19, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 01m,,,61
Tulsa Metropolitan Area Planning Commission,"September  5, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 13m,,,133
Tulsa Metropolitan Area Planning Commission,"August 15, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 02m,,,62
Tulsa Metropolitan Area Planning Commission,"August  1, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 38m,,,38
Tulsa Metropolitan Area Planning Commission,"July 18, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 25m,,,85
Tulsa Metropolitan Area Planning Commission,"June 20, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 27m,,,27
Tulsa Metropolitan Area Planning Commission,"June  6, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 37m,,,157
Tulsa Metropolitan Area Planning Commission,"May 20, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 37m,,,37
Tulsa Metropolitan Area Planning Commission,"May  2, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 18m,,,78
Tulsa Metropolitan Area Planning Commission,"April 18, 2018
                                                                                                                                      -
                                                                                               1:30 PM",00h 54m,,,54
Tulsa Metropolitan Area Planning Commission,"April  4, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 47m,,,107
Tulsa Metropolitan Area Planning Commission,"March 21, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 17m,,,77
Tulsa Metropolitan Area Planning Commission,"March  7, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 53m,,,113
Tulsa Metropolitan Area Planning Commission,"February 21, 2018
                                                                                                                                      -
                                                                                               1:30 PM",03h 00m,,,180
Tulsa Metropolitan Area Planning Commission,"February  7, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 01m,,,121
Tulsa Metropolitan Area Planning Commission,"January 17, 2018
                                                                                                                                      -
                                                                                               1:30 PM",01h 42m,,,102
Tulsa Metropolitan Area Planning Commission,"January  3, 2018
                                                                                                                                      -
                                                                                               1:30 PM",02h 26m,,,146
Tulsa Authority for the Recovery of Energy,"December  4, 2018
                                                                                                                                      -
                                                                                               3:30 PM",01h 20m,,,80
Tulsa Authority for the Recovery of Energy,"October 30, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 49m,,,49
Tulsa Authority for the Recovery of Energy,"September 25, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 28m,,,28
Tulsa Authority for the Recovery of Energy,"August 28, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 37m,,,37
Tulsa Authority for the Recovery of Energy,"July 31, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 25m,,,25
Tulsa Authority for the Recovery of Energy,"June 26, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 27m,,,27
Tulsa Authority for the Recovery of Energy,"May 29, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 39m,,,39
Tulsa Authority for the Recovery of Energy,"April 24, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 29m,,,29
Tulsa Authority for the Recovery of Energy,"March 27, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 36m,,,36
Tulsa Authority for the Recovery of Energy,"February 27, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 59m,,,59
Tulsa Authority for the Recovery of Energy,"January 30, 2018
                                                                                                                                      -
                                                                                               3:30 PM",00h 33m,,,33
Tulsa Development Authority,"December  6, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 19m,,,199
Tulsa Development Authority,"November  1, 2018
                                                                                                                                      -
                                                                                               9:15 AM",01h 35m,,,95
Tulsa Development Authority,"October  4, 2018
                                                                                                                                      -
                                                                                               9:15 AM",01h 16m,,,76
Tulsa Development Authority,"September  6, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 39m,,,219
Tulsa Development Authority,"August  2, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 15m,,,195
Tulsa Development Authority,"July 12, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 21m,,,201
Tulsa Development Authority,"June  7, 2018
                                                                                                                                      -
                                                                                               9:15 AM",02h 29m,,,149
Tulsa Development Authority,"May  3, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 38m,,,218
Tulsa Development Authority,"April  5, 2018
                                                                                                                                      -
                                                                                               9:15 AM",04h 30m,,,270
Tulsa Development Authority,"March  1, 2018
                                                                                                                                      -
                                                                                               9:15 AM",03h 09m,,,189
Tulsa Development Authority,"February  1, 2018
                                                                                                                                      -
                                                                                               9:15 AM",01h 49m,,,109
Tulsa Development Authority,"January  4, 2018
                                                                                                                                      -
                                                                                               9:15 AM",02h 27m,,,147
Mayor's Commission on the Status of Women,"November  2, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 07m,,,67
Mayor's Commission on the Status of Women,"October  5, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 01m,,,61
Mayor's Commission on the Status of Women,"September  7, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 00m,,,60
Mayor's Commission on the Status of Women,"August  3, 2018
                                                                                                                                      -
                                                                                              12:00 PM",00h 58m,,,58
Mayor's Commission on the Status of Women,"May  4, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 11m,,,71
Mayor's Commission on the Status of Women,"April  6, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 12m,,,72
Mayor's Commission on the Status of Women,"February  2, 2018
                                                                                                                                      -
                                                                                              12:00 PM",00h 52m,,,52
Mayor's Commission on the Status of Women,"January  5, 2018
                                                                                                                                      -
                                                                                              12:00 PM",01h 06m,,,66
Regular Council Meeting,"December 20, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 37m,,,37
Regular Council Meeting,"December 13, 2017
                                                                                                                                      -
                                                                                               6:00 PM",05h 01m,,,301
Regular Council Meeting,"December  6, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 56m,,,56
Regular Council Meeting,"November 29, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 50m,,,50
Regular Council Meeting,"November 15, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 40m,,,40
Regular Council Meeting,"November  1, 2017
                                                                                                                                      -
                                                                                               6:00 PM",01h 04m,,,64
Regular Council Meeting,"October 25, 2017
                                                                                                                                      -
                                                                                               6:00 PM",02h 29m,,,149
Regular Council Meeting,"October 11, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 36m,,,36
Regular Council Meeting,"September 27, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 36m,,,36
Regular Council Meeting,"September 20, 2017
                                                                                                                                      -
                                                                                               6:00 PM",02h 08m,,,128
Regular Council Meeting,"September 13, 2017
                                                                                                                                      -
                                                                                               6:00 PM",01h 49m,,,109
Regular Council Meeting,"August 30, 2017
                                                                                                                                      -
                                                                                               6:00 PM",05h 17m,,,317
Regular Council Meeting,"August 16, 2017
                                                                                                                                      -
                                                                                               6:00 PM",01h 41m,,,101
Regular Council Meeting,"August  9, 2017
                                                                                                                                      -
                                                                                               6:00 PM",03h 36m,,,216
Regular Council Meeting,"August  2, 2017
                                                                                                                                      -
                                                                                               6:00 PM",01h 46m,,,106
Regular Council Meeting,"July 26, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 33m,,,33
Regular Council Meeting,"July 12, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 53m,,,53
Tulsa City Council Meeting,"June 28, 2017
                                                                                                                                      -
                                                                                              10:48 AM",01h 16m,,,76
Tulsa City Council Meeting,"June 21, 2017
                                                                                                                                      -
                                                                                              10:25 AM",00h 29m,,,29
Regular Council Meeting,"June 21, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 35m,,,35
Tulsa City Council Regular Meeting,"June  7, 2017
                                                                                                                                      -
                                                                                              10:28 AM",00h 47m,,,47
Regular Council Meeting,"June  7, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 47m,,,47
Tulsa City Council Regular Meeting,"May 24, 2017
                                                                                                                                      -
                                                                                               4:18 PM",01h 38m,,,98
Regular Council Meeting,"May 24, 2017
                                                                                                                                      -
                                                                                               6:00 PM",01h 40m,,,100
Tulsa City Council Regular Meeting,"May 10, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 37m,,,37
Tulsa City Council Regular Meeting,"April 26, 2017
                                                                                                                                      -
                                                                                               6:02 PM",00h 54m,,,54
Tulsa City Council Regular Meeting,"April 19, 2017
                                                                                                                                      -
                                                                                               6:03 PM",00h 45m,,,45
Regular Council Meeting,"April 19, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 48m,,,48
Tulsa City Council Regular Meeting,"April  5, 2017
                                                                                                                                      -
                                                                                               6:03 PM",00h 38m,,,38
Tulsa City Council Regular Meeting,"March 29, 2017
                                                                                                                                      -
                                                                                               6:03 PM",01h 13m,,,73
Tulsa City Council Regular Meeting,"March 22, 2017
                                                                                                                                      -
                                                                                               6:02 PM",01h 41m,,,101
Tulsa City Council Regular Meeting,"March  8, 2017
                                                                                                                                      -
                                                                                               6:02 PM",00h 38m,,,38
Tulsa City Council Special Meeting,"March  1, 2017
                                                                                                                                      -
                                                                                               5:07 PM",04h 08m,,,248
Tulsa City Council Regular Meeting,"February 22, 2017
                                                                                                                                      -
                                                                                               6:02 PM",00h 32m,,,32
Tulsa City Council Special Meeting,"February 21, 2017
                                                                                                                                      -
                                                                                              10:04 AM",05h 17m,,,317
Tulsa City Council Regular Meeting,"February  8, 2017
                                                                                                                                      -
                                                                                               6:04 PM",00h 39m,,,39
Tulsa City Council Regular Meeting,"February  1, 2017
                                                                                                                                      -
                                                                                               6:00 PM",00h 33m,,,33
Tulsa City Council Regular Meeting,"January 25, 2017
                                                                                                                                      -
                                                                                               6:02 PM",00h 50m,,,50
Tulsa City Council Regular Meeting,"January 11, 2017
                                                                                                                                      -
                                                                                               5:59 PM",00h 55m,,,55
Tulsa City Council Budget Committee,"May 24, 2017
                                                                                                                                      -
                                                                                              11:15 AM",00h 44m,,,44
Council Budget & Special Projects Committee,"May 24, 2017
                                                                                                                                      -
                                                                                              10:00 AM",00h 45m,,,45
Tulsa City Council Budget Committee,"May 11, 2017
                                                                                                                                      -
                                                                                               9:02 AM",01h 26m,,,86
Tulsa City Council Budget Committee,"May  3, 2017
                                                                                                                                      -
                                                                                              10:02 AM",00h 31m,,,31
Council Budget & Special Projects Committee,"May  3, 2017
                                                                                                                                      -
                                                                                              10:00 AM",00h 32m,,,32
Tulsa City Council Budget Committee,"April 19, 2017
                                                                                                                                      -
                                                                                              10:02 AM",01h 11m,,,71
Tulsa City Council Budget Committee,"April  5, 2017
                                                                                                                                      -
                                                                                              10:02 AM",00h 38m,,,38
Council Public Works Committee,"December 13, 2017
                                                                                                                                      -
                                                                                               2:30 PM",02h 06m,,,126
Council Public Works Committee,"November  1, 2017
                                                                                                                                      -
                                                                                               2:30 PM",00h 53m,,,53
