meeting,date,duration,agenda,video,duration_minutes
Council Public Works Committee,"June 12, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 41m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6122,,101
Council Public Works Committee,"June  5, 2024
                                                                                                                                      -
                                                                                               2:34 PM",00h 18m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6109,,18
Council Public Works Committee,"May 15, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 28m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6094,,88
Council Public Works Committee,"May  1, 2024
                                                                                                                                      -
                                                                                               2:43 PM",01h 41m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6081,,101
Council Public Works Committee,"April 17, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 17m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6069,,17
Council Public Works Committee,"April 10, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 37m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6060,,37
Council Public Works Committee,"March 27, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 40m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6049,,100
Council Public Works Committee,"March 13, 2024
                                                                                                                                      -
                                                                                               2:31 PM",01h 17m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6032,,77
Council Public Works Committee,"March  6, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 35m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6017,,95
Council Public Works Committee,"February 28, 2024
                                                                                                                                      -
                                                                                               2:49 PM",01h 25m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5993,,85
Council Public Works Committee,"February 21, 2024
                                                                                                                                      -
                                                                                               2:37 PM",01h 38m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5977,,98
Council Public Works Committee,"February  7, 2024
                                                                                                                                      -
                                                                                               2:42 PM",00h 59m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5944,,59
Council Public Works Committee,"January 31, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 09m,,,69
Council Public Works Committee,"January 24, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 31m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5922,,91
Council Public Works Committee,"January 10, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 50m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5915,,110
Council Urban & Economic Development Committee,"December 18, 2024
                                                                                                                                      -
                                                                                              10:30 AM",00h 38m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6325,,38
Council Urban & Economic Development Committee,"December  4, 2024
                                                                                                                                      -
                                                                                              10:30 AM",00h 33m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6316,,33
Council Urban & Economic Development Committee,"November 20, 2024
                                                                                                                                      -
                                                                                              10:31 AM",00h 34m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6308,,34
Council Urban & Economic Development Committee,"October 30, 2024
                                                                                                                                      -
                                                                                              10:33 AM",02h 10m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6274,,130
Council Urban & Economic Development Committee,"October 16, 2024
                                                                                                                                      -
                                                                                              10:31 AM",01h 48m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6258,,108
Council Urban & Economic Development Committee,"September 25, 2024
                                                                                                                                      -
                                                                                              10:30 AM",01h 55m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6232,,115
Council Urban & Economic Development Committee,"September 18, 2024
                                                                                                                                      -
                                                                                              10:30 AM",00h 33m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6222,,33
Council Urban & Economic Development Committee,"September 11, 2024
                                                                                                                                      -
                                                                                              10:30 AM",00h 45m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6208,,45
Council Urban & Economic Development Committee,"August 21, 2024
                                                                                                                                      -
                                                                                              10:32 AM",01h 33m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6174,,93
Council Urban & Economic Development Committee,"August  7, 2024
                                                                                                                                      -
                                                                                              10:30 AM",00h 54m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6162,,54
TEST MEETING,"August  1, 2024
                                                                                                                                      -
                                                                                              12:14 PM",00h 00m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6158,,0
